Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guyana,GUY,"Secondary education, general pupils",SE.SEC.ENRL.GC,69612,70813,75327,81999,81386,,,,,,,,
High income,HIC,"Secondary education, general pupils",SE.SEC.ENRL.GC,77700000,77400000,77100000,76700000,76500000,77200000,77100000,77100000,76800000,76700000,76100000,,
"Hong Kong SAR, China",HKG,"Secondary education, general pupils",SE.SEC.ENRL.GC,507357,506086,502659,481487,480642,432836,408799,385992,364243,349159,341591,,
Honduras,HND,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,462450,422624,376478,398522,402665,,,
Heavily indebted poor countries (HIPC),HPC,"Secondary education, general pupils",SE.SEC.ENRL.GC,24400000,26300000,28500000,30500000,32400000,34200000,35600000,36800000,38000000,39400000,40900000,,
Croatia,HRV,"Secondary education, general pupils",SE.SEC.ENRL.GC,244688,246565,244995,241355,235819,228980,221383,215103,210001,207005,,,
Haiti,HTI,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Hungary,HUN,"Secondary education, general pupils",SE.SEC.ENRL.GC,793857,781937,767074,743277,725264,756971,737281,720858,714827,709324,,,
IBRD only,IBD,"Secondary education, general pupils",SE.SEC.ENRL.GC,328000000,327000000,331000000,336000000,339000000,341000000,349000000,350000000,351000000,351000000,354000000,,
IDA & IBRD total,IBT,"Secondary education, general pupils",SE.SEC.ENRL.GC,399000000,401000000,410000000,419000000,425000000,432000000,441000000,445000000,449000000,450000000,456000000,,
IDA total,IDA,"Secondary education, general pupils",SE.SEC.ENRL.GC,70300000,74300000,78700000,82200000,86100000,91100000,91300000,94900000,97500000,99100000,102000000,,
IDA blend,IDB,"Secondary education, general pupils",SE.SEC.ENRL.GC,25300000,26400000,28000000,29000000,30200000,33000000,31700000,33400000,33300000,33800000,35100000,,
Indonesia,IDN,"Secondary education, general pupils",SE.SEC.ENRL.GC,15575938,16425000,16656848,17040697,17426639,18132975,18387298,19545071,19297867,19635349,19989539,,
IDA only,IDX,"Secondary education, general pupils",SE.SEC.ENRL.GC,45000000,47900000,50800000,53300000,56100000,58200000,59700000,61600000,64300000,65500000,67200000,,
Isle of Man,IMN,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
India,IND,"Secondary education, general pupils",SE.SEC.ENRL.GC,100954563,,,,,117899080,127848110,127787178,130398837,127528425,,,
Not classified,INX,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Ireland,IRL,"Secondary education, general pupils",SE.SEC.ENRL.GC,265746,270429,273481,278192,285692,,348116,354670,360088,373014,,,
"Iran, Islamic Rep.",IRN,"Secondary education, general pupils",SE.SEC.ENRL.GC,7348681,7054205,6556388,6435868,6305168,4959951,4899693,4880395,4902204,4920798,,,
Iraq,IRQ,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Iceland,ISL,"Secondary education, general pupils",SE.SEC.ENRL.GC,27821,27834,27985,27588,28169,30221,29607,28917,28184,28393,,,
Israel,ISR,"Secondary education, general pupils",SE.SEC.ENRL.GC,561935,564681,575551,583307,592016,605854,615468,629428,648864,657883,,,
Italy,ITA,"Secondary education, general pupils",SE.SEC.ENRL.GC,2884641,2913355,2917647,2924902,2925752,2941755,3023900,3025324,3015887,3035462,,,
Jamaica,JAM,"Secondary education, general pupils",SE.SEC.ENRL.GC,,266933,260371,260325,,228935,223920,215200,216813,204080,200563,,
Jordan,JOR,"Secondary education, general pupils",SE.SEC.ENRL.GC,672157,,685883,694344,,702734,720877,,,737097,766641,,
Japan,JPN,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,6433536,6390880,6388253,6336275,6280619,,,
Kazakhstan,KAZ,"Secondary education, general pupils",SE.SEC.ENRL.GC,1671337,1632531,1598333,1566584,1533403,1494586,1475996,1489036,1525811,1574083,1643803,1724786,
Kenya,KEN,"Secondary education, general pupils",SE.SEC.ENRL.GC,3077222,3188707,,,3832562,,4424905,4727245,4985419,,,,
Kyrgyz Republic,KGZ,"Secondary education, general pupils",SE.SEC.ENRL.GC,675601,656790,641691,622724,602399,586099,584123,583553,598970,607039,620568,,
Cambodia,KHM,"Secondary education, general pupils",SE.SEC.ENRL.GC,909033,918708,925788,910420,881108,849130,835096,839491,861995,905416,955656,,
Kiribati,KIR,"Secondary education, general pupils",SE.SEC.ENRL.GC,11583,,,,,,11697,11620,12364,9548,,,
St. Kitts and Nevis,KNA,"Secondary education, general pupils",SE.SEC.ENRL.GC,4396,4270,4309,4297,3673,4792,4370,4318,4175,,,,
"Korea, Rep.",KOR,"Secondary education, general pupils",SE.SEC.ENRL.GC,3471289,3512651,3492128,3460265,3417314,3382997,3249222,3076303,2922648,2778469,,,
Kuwait,KWT,"Secondary education, general pupils",SE.SEC.ENRL.GC,246100,250745,258184,262378,269487,272380,276911,294772,308174,317907,324426,,
Latin America & Caribbean (excluding high income),LAC,"Secondary education, general pupils",SE.SEC.ENRL.GC,51900000,52600000,52900000,53300000,53100000,54800000,54600000,54200000,54300000,54100000,53500000,,
Lao PDR,LAO,"Secondary education, general pupils",SE.SEC.ENRL.GC,409868,421899,433427,488143,510940,543289,592365,630676,656768,670567,671064,,
Lebanon,LBN,"Secondary education, general pupils",SE.SEC.ENRL.GC,327716,328484,326513,326777,328684,331665,315371,322488,329851,336139,339951,,
Liberia,LBR,"Secondary education, general pupils",SE.SEC.ENRL.GC,158242,182874,,220078,,,,,272796,270010,,,
Libya,LBY,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
St. Lucia,LCA,"Secondary education, general pupils",SE.SEC.ENRL.GC,15774,16075,15889,15449,14565,13910,13437,13040,12532,12067,11655,,
Latin America & Caribbean,LCN,"Secondary education, general pupils",SE.SEC.ENRL.GC,54100000,54700000,55100000,55400000,55100000,57000000,56800000,56300000,56400000,56200000,55700000,,
Least developed countries: UN classification,LDC,"Secondary education, general pupils",SE.SEC.ENRL.GC,37700000,40400000,43000000,45300000,48000000,51200000,53500000,55500000,58400000,59500000,61100000,,
Low income,LIC,"Secondary education, general pupils",SE.SEC.ENRL.GC,26500000,28100000,30100000,32000000,33600000,34100000,34700000,35400000,36300000,37300000,38300000,,
Liechtenstein,LIE,"Secondary education, general pupils",SE.SEC.ENRL.GC,2078,1944,2067,2075,2082,,2192,2166,2121,2120,,,
Sri Lanka,LKA,"Secondary education, general pupils",SE.SEC.ENRL.GC,2299021,2236238,2390895,2423059,2442226,2455779,2417378,2480226,2508270,2548958,2622100,,
Lower middle income,LMC,"Secondary education, general pupils",SE.SEC.ENRL.GC,190000000,192000000,201000000,209000000,217000000,223000000,233000000,237000000,241000000,241000000,245000000,,
Low & middle income,LMY,"Secondary education, general pupils",SE.SEC.ENRL.GC,398000000,401000000,410000000,418000000,425000000,431000000,440000000,444000000,449000000,449000000,456000000,,
Lesotho,LSO,"Secondary education, general pupils",SE.SEC.ENRL.GC,103317,111480,123307,128172,127852,127121,128473,128701,128780,133639,,,
Late-demographic dividend,LTE,"Secondary education, general pupils",SE.SEC.ENRL.GC,153000000,150000000,148000000,145000000,142000000,142000000,139000000,138000000,137000000,136000000,137000000,,
Lithuania,LTU,"Secondary education, general pupils",SE.SEC.ENRL.GC,339612,321500,304581,288038,271099,265452,250389,237917,226428,218532,,,
Luxembourg,LUX,"Secondary education, general pupils",SE.SEC.ENRL.GC,27306,,29669,29932,30712,31644,31980,31461,31894,32144,,,
Latvia,LVA,"Secondary education, general pupils",SE.SEC.ENRL.GC,147164,122330,112603,102913,93230,98502,94676,92547,93146,93459,,,
"Macao SAR, China",MAC,"Secondary education, general pupils",SE.SEC.ENRL.GC,40099,38143,36951,35717,34125,32316,30638,28890,27680,26481,25672,,
St. Martin (French part),MAF,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Morocco,MAR,"Secondary education, general pupils",SE.SEC.ENRL.GC,2114335,2189785,2246470,2329039,2398636,2501740,2552288,2547399,2566176,2618943,2624844,,
Monaco,MCO,"Secondary education, general pupils",SE.SEC.ENRL.GC,2643,2440,2458,2610,2657,2663,2711,2936,3005,3092,3118,3075,
Moldova,MDA,"Secondary education, general pupils",SE.SEC.ENRL.GC,308763,288658,272106,255957,241653,227404,214579,202441,196664,194394,195480,,
Madagascar,MDG,"Secondary education, general pupils",SE.SEC.ENRL.GC,912153,985556,1141367,1288680,1377180,1405793,1466888,1507452,1529464,1500905,1512115,,
Maldives,MDV,"Secondary education, general pupils",SE.SEC.ENRL.GC,30815,29040,27831,27100,25681,24034,23150,22476,21376,20969,,,
Middle East & North Africa,MEA,"Secondary education, general pupils",SE.SEC.ENRL.GC,32300000,32800000,32800000,33700000,33800000,31700000,31400000,31600000,31900000,32200000,32800000,,
Mexico,MEX,"Secondary education, general pupils",SE.SEC.ENRL.GC,9588558,9711334,9811082,9950960,10120115,9042238,9473577,9805487,9941378,10279943,,,
Marshall Islands,MHL,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,8085,,,,5317,5366,,,,
Middle income,MIC,"Secondary education, general pupils",SE.SEC.ENRL.GC,371000000,373000000,380000000,386000000,391000000,397000000,406000000,409000000,412000000,412000000,418000000,,
North Macedonia,MKD,"Secondary education, general pupils",SE.SEC.ENRL.GC,146958,143050,139207,,130205,122995,119021,118958,,115834,,,
Mali,MLI,"Secondary education, general pupils",SE.SEC.ENRL.GC,536745,597039,653619,726754,770323,772481,831931,822679,882472,885112,918775,,
Malta,MLT,"Secondary education, general pupils",SE.SEC.ENRL.GC,31790,31943,31578,29859,29653,28584,27777,27206,26193,25779,,,
Myanmar,MMR,"Secondary education, general pupils",SE.SEC.ENRL.GC,2828868,2812866,2852447,,,,3191268,,3742454,3964792,4179394,,
Middle East & North Africa (excluding high income),MNA,"Secondary education, general pupils",SE.SEC.ENRL.GC,27900000,28200000,28100000,28900000,28800000,26700000,26300000,26500000,26800000,27100000,27400000,,
Montenegro,MNE,"Secondary education, general pupils",SE.SEC.ENRL.GC,45298,46624,48037,42370,41542,,,40777,39643,38852,38029,,
Mongolia,MNG,"Secondary education, general pupils",SE.SEC.ENRL.GC,297883,279454,248100,,,,,,,,,,
Northern Mariana Islands,MNP,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Mozambique,MOZ,"Secondary education, general pupils",SE.SEC.ENRL.GC,482779,561099,636740,682113,695564,960743,973415,1020695,1061181,1103887,1196538,,
Mauritania,MRT,"Secondary education, general pupils",SE.SEC.ENRL.GC,95497,104554,108499,122595,149633,169126,176915,186502,198457,201363,235653,,
Mauritius,MUS,"Secondary education, general pupils",SE.SEC.ENRL.GC,116503,116226,115003,115289,115677,113872,114239,114311,111863,110582,110715,,
Malawi,MWI,"Secondary education, general pupils",SE.SEC.ENRL.GC,636416,666679,692157,736364,761366,853210,920209,961589,951555,998940,1040975,,
Malaysia,MYS,"Secondary education, general pupils",SE.SEC.ENRL.GC,2370908,2387723,2453474,2449224,2496835,2498678,2564351,2576618,2458448,2375648,2307875,,
North America,NAC,"Secondary education, general pupils",SE.SEC.ENRL.GC,27300000,27100000,26700000,26700000,26700000,26700000,26800000,26900000,27200000,27300000,27500000,,
Namibia,NAM,"Secondary education, general pupils",SE.SEC.ENRL.GC,163873,169390,173908,,182945,187194,,,,202252,,,
New Caledonia,NCL,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,,,,,,
Niger,NER,"Secondary education, general pupils",SE.SEC.ENRL.GC,228242,250143,300793,335784,365886,411568,472602,546679,662766,730124,775930,,
Nigeria,NGA,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,9591205,,12532753,,,,,,,
Nicaragua,NIC,"Secondary education, general pupils",SE.SEC.ENRL.GC,446868,,458321,,,,,,,,,,
Netherlands,NLD,"Secondary education, general pupils",SE.SEC.ENRL.GC,775682,772385,776867,790048,803056,,,1016251,1026586,1031591,,,
Norway,NOR,"Secondary education, general pupils",SE.SEC.ENRL.GC,291724,297620,304090,308417,306969,311774,312450,318675,317795,321518,,,
Nepal,NPL,"Secondary education, general pupils",SE.SEC.ENRL.GC,2290113,2365251,2675217,2830263,3014587,3088755,3140613,3152893,3252523,3310842,,3421508,
Nauru,NRU,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,945,,1028,,992,,,,
New Zealand,NZL,"Secondary education, general pupils",SE.SEC.ENRL.GC,,427550,432893,431737,431410,409115,407052,408509,410887,416083,,,
OECD members,OED,"Secondary education, general pupils",SE.SEC.ENRL.GC,86800000,86800000,86600000,86400000,86100000,88100000,88600000,88700000,88800000,89400000,88700000,,
Oman,OMN,"Secondary education, general pupils",SE.SEC.ENRL.GC,317816,321670,,301073,298109,292705,,286787,294365,295650,420787,,
Other small states,OSS,"Secondary education, general pupils",SE.SEC.ENRL.GC,1672786,1716216,1752068,1786361,1814237,1830302,1860273,1884647,1902245,1933128,1959153,,
Pakistan,PAK,"Secondary education, general pupils",SE.SEC.ENRL.GC,8997641,9044667,9273025,9549783,9995422,10420172,10919649,11748355,12272835,12173953,12911242,,
Panama,PAN,"Secondary education, general pupils",SE.SEC.ENRL.GC,223917,230294,238855,239544,,,,,291030,268242,,,
Peru,PER,"Secondary education, general pupils",SE.SEC.ENRL.GC,2566702,2645384,2651043,2639703,2580488,2687492,2633128,2644115,2707496,2726802,2724885,,
Philippines,PHL,"Secondary education, general pupils",SE.SEC.ENRL.GC,6509273,6766952,,,,,7220389,7319461,7397290,8444603,,,
Palau,PLW,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,1672,1604,,,,,,
Papua New Guinea,PNG,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,349038,,,,463600,,,,
Poland,POL,"Secondary education, general pupils",SE.SEC.ENRL.GC,2278925,2141971,2027552,1930136,1845084,1992160,1896769,1814474,1764940,1722663,,,
Pre-demographic dividend,PRE,"Secondary education, general pupils",SE.SEC.ENRL.GC,29500000,32400000,35400000,37600000,40000000,44300000,44100000,46400000,47100000,48800000,50600000,,
Puerto Rico,PRI,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,262147.7595,258857,258944,229383,,,,
"Korea, Dem. People?s Rep.",PRK,"Secondary education, general pupils",SE.SEC.ENRL.GC,,,,,,,,2148364,,,,,
