Country Name,Country Code,Indicator Name,Indicator Code," 2,008.00 "," 2,009.00 "," 2,010.00 "," 2,011.00 "," 2,012.00 "," 2,013.00 "," 2,014.00 "," 2,015.00 "," 2,016.00 "," 2,017.00 "," 2,018.00 "," 2,019.00 "," 2,020.00 "
Central Europe and the Baltics,CEB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Switzerland,CHE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 376,237,000,000.00 "," 337,209,000,000.00 "," 389,443,000,000.00 "," 406,708,000,000.00 "," 419,908,000,000.00 "," 459,008,000,000.00 "," 417,598,000,000.00 "," 407,054,000,000.00 "," 434,901,000,000.00 "," 435,421,000,000.00 "," 455,992,000,000.00 "," 461,380,000,000.00 ",
Channel Islands,CHI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 38,878,300,000,000.00 "," 35,813,400,000,000.00 "," 42,089,100,000,000.00 "," 46,071,900,000,000.00 "," 44,340,400,000,000.00 "," 44,395,400,000,000.00 "," 49,202,400,000,000.00 "," 46,870,900,000,000.00 "," 47,722,400,000,000.00 "," 51,121,700,000,000.00 "," 54,673,800,000,000.00 "," 55,960,100,000,000.00 ",
China,CHN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 10,408,200,000,000.00 "," 8,625,760,000,000.00 "," 11,203,600,000,000.00 "," 12,963,700,000,000.00 "," 13,729,800,000,000.00 "," 14,586,500,000,000.00 "," 15,130,200,000,000.00 "," 14,709,900,000,000.00 "," 14,617,700,000,000.00 "," 16,384,700,000,000.00 "," 17,569,400,000,000.00 "," 18,247,000,000,000.00 ",
Cote d'Ivoire,CIV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 5,111,170,000,000.00 "," 5,829,700,000,000.00 "," 6,240,330,000,000.00 "," 6,445,870,000,000.00 "," 6,692,160,000,000.00 "," 6,414,790,000,000.00 "," 6,857,750,000,000.00 "," 7,409,580,000,000.00 "," 6,990,870,000,000.00 "," 7,464,830,000,000.00 "," 7,245,000,000,000.00 "," 8,098,950,000,000.00 ",
Cameroon,CMR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,436,490,000,000.00 "," 2,629,460,000,000.00 "," 2,870,950,000,000.00 "," 3,589,810,000,000.00 "," 3,880,800,000,000.00 "," 4,086,060,000,000.00 "," 4,308,380,000,000.00 "," 4,070,270,000,000.00 "," 3,721,820,000,000.00 "," 3,777,810,000,000.00 "," 4,151,000,000,000.00 "," 3,760,180,000,000.00 ",
"Congo, Dem. Rep.",COD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 4,319,430,000,000.00 "," 4,049,200,000,000.00 "," 8,031,750,000,000.00 "," 9,388,680,000,000.00 "," 8,302,810,000,000.00 "," 10,952,400,000,000.00 "," 12,237,100,000,000.00 "," 9,734,790,000,000.00 "," 8,987,830,000,000.00 "," 19,626,100,000,000.00 "," 26,091,400,000,000.00 "," 25,001,900,000,000.00 ",
"Congo, Rep.",COG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,990,940,000,000.00 "," 3,189,890,000,000.00 "," 5,062,260,000,000.00 "," 5,941,320,000,000.00 "," 5,849,980,000,000.00 "," 5,325,870,000,000.00 "," 5,116,030,000,000.00 "," 3,504,480,000,000.00 "," 3,561,450,000,000.00 "," 4,762,790,000,000.00 "," 6,337,040,000,000.00 "," 4,910,110,000,000.00 ",
Colombia,COL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 86,302,000,000,000.00 "," 82,381,000,000,000.00 "," 88,904,000,000,000.00 "," 119,326,000,000,000.00 "," 125,378,000,000,000.00 "," 129,154,000,000,000.00 "," 126,907,000,000,000.00 "," 125,936,000,000,000.00 "," 127,124,000,000,000.00 "," 139,408,000,000,000.00 "," 156,703,000,000,000.00 "," 168,849,000,000,000.00 ",
